,StateCode,1990,2015,FactorChange,1990_pop,2015_pop,1990ProportionOfTotalConsumption,2015ProportionOfTotalConsumption,DifferenceOfProportion,1990ConsumptionPerCapita,2015ConsumptionPerCapita,ChangeConsumptionPerCapita
0,AL,13,141,10.8462,4.05e+06,4.854e+06,0.000780527,0.0073839,0.00660338,3.20988e-06,2.90482e-05,2.58383e-05
1,AR,108,808,7.48148,2.357e+06,2.978e+06,0.0126181,0.0765513,0.0639332,4.5821e-05,0.000271323,0.000225502
2,AZ,236,345,1.46186,3.684e+06,6.818e+06,0.0251355,0.0239606,-0.00117489,6.40608e-05,5.06013e-05,-1.34595e-05
3,CA,152147,112878,0.741901,2.996e+07,3.8994e+07,2.04357,1.47047,-0.573104,0.00507834,0.00289475,-0.00218358
4,CO,405,759,1.87407,3.308e+06,5.449e+06,0.0434125,0.0512759,0.00786346,0.00012243,0.000139292,1.68611e-05
5,CT,0,21,inf,3.292e+06,3.585e+06,0,0.00279403,0.00279403,0,5.85774e-06,5.85774e-06
6,DE,55,430,7.81818,670000,944000,0.0215311,0.154668,0.133137,8.20896e-05,0.000455508,0.000373419
7,FL,1288,10056,7.80745,1.3033e+07,2.0245e+07,0.039258,0.237075,0.197817,9.88261e-05,0.000496715,0.000397889
8,GA,40,315,7.875,6.513e+06,1.0199e+07,0.00179396,0.0110479,0.00925396,6.14156e-06,3.08854e-05,2.47438e-05
9,HI,0,2154,inf,1.113e+06,1.425e+06,0,0.762699,0.762699,0,0.00151158,0.00151158
10,IA,63,1281,20.3333,2.781e+06,3.122e+06,0.00666053,0.0856971,0.0790366,2.26537e-05,0.000410314,0.00038766
11,ID,536,2207,4.11754,1.012e+06,1.653e+06,0.132211,0.420892,0.288681,0.000529644,0.00133515,0.000805504
12,IL,270,2042,7.56296,1.1453e+07,1.2839e+07,0.00753942,0.0517914,0.044252,2.35746e-05,0.000159047,0.000135472
13,IN,502,4647,9.25697,5.558e+06,6.613e+06,0.0201412,0.163261,0.14312,9.03203e-05,0.000702707,0.000612387
14,KS,43,974,22.6512,2.481e+06,2.907e+06,0.00403205,0.089966,0.085934,1.73317e-05,0.000335053,0.000317722
15,KY,237,2712,11.443,3.694e+06,4.425e+06,0.0162018,0.157174,0.140972,6.41581e-05,0.000612881,0.000548723
16,LA,121,1842,15.2231,4.222e+06,4.669e+06,0.00313609,0.0432506,0.0401145,2.86594e-05,0.000394517,0.000365858
17,MA,20,859,42.95,6.023e+06,6.784e+06,0.00142162,0.0594522,0.0580305,3.3206e-06,0.000126621,0.000123301
18,MD,72,570,7.91667,4.8e+06,5.995e+06,0.00567391,0.0407298,0.0350559,1.5e-05,9.50792e-05,8.00792e-05
19,ME,0,72,inf,1.232e+06,1.329e+06,0,0.0177493,0.0177493,0,5.41761e-05,5.41761e-05
20,MI,579,5193,8.96891,9.311e+06,9.918e+06,0.0201454,0.187653,0.167507,6.21845e-05,0.000523593,0.000461409
21,MN,145,1075,7.41379,4.39e+06,5.482e+06,0.0103496,0.0607372,0.0503875,3.30296e-05,0.000196096,0.000163067
22,MO,45,352,7.82222,5.129e+06,6.076e+06,0.00303304,0.0192691,0.016236,8.77364e-06,5.79329e-05,4.91592e-05
23,MS,25,958,38.32,2.579e+06,2.989e+06,0.00242952,0.0845774,0.0821479,9.69368e-06,0.000320509,0.000310815
24,MT,126,337,2.6746,800000,1.032e+06,0.0362537,0.0860937,0.04984,0.0001575,0.00032655,0.00016905
25,NC,123,967,7.86179,6.664e+06,1.0035e+07,0.00598349,0.0383165,0.032333,1.84574e-05,9.63627e-05,7.79053e-05
26,ND,82,978,11.9268,638000,757000,0.0262398,0.160971,0.134731,0.000128527,0.00129194,0.00116342
27,NE,80,1212,15.15,1.221e+06,2.884e+06,0.0152235,0.142067,0.126843,6.55201e-05,0.00042025,0.00035473
28,NH,0,29,inf,1.112e+06,1.33e+06,0,0.00950153,0.00950153,0,2.18045e-05,2.18045e-05
29,NJ,63,466,7.39683,7.763e+06,8.935e+06,0.00280518,0.0203702,0.017565,8.11542e-06,5.21544e-05,4.4039e-05
30,NM,117,458,3.91453,1.522e+06,2.08e+06,0.0196164,0.0677959,0.0481795,7.68725e-05,0.000220192,0.00014332
31,NV,8707,30535,3.50695,1.582e+06,1.894e+06,2.16014,4.70103,2.5409,0.00550379,0.016122,0.0106182
32,NY,73,1185,16.2329,1.8021e+07,1.9747e+07,0.00195424,0.0318166,0.0298624,4.05083e-06,6.00091e-05,5.59583e-05
33,OH,347,3435,9.89914,1.0864e+07,1.1605e+07,0.00920246,0.0918241,0.0826217,3.19404e-05,0.000295993,0.000264053
34,OK,1,24,24,3.149e+06,3.907e+06,7.23147e-05,0.00147161,0.00139929,3.17561e-07,6.14282e-06,5.82526e-06
35,OR,392,2898,7.39286,2.86e+06,4.025e+06,0.0400738,0.302919,0.262845,0.000137063,0.00072,0.000582937
36,PA,202,2162,10.703,1.1903e+07,1.2792e+07,0.00555543,0.055702,0.0501466,1.69705e-05,0.000169012,0.000152041
37,RI,0,57,inf,1.006e+06,1.056e+06,0,0.0281256,0.0281256,0,5.39773e-05,5.39773e-05
38,SC,82,648,7.90244,3.501e+06,4.895e+06,0.00649268,0.0393087,0.0328161,2.34219e-05,0.00013238,0.000108958
39,SD,154,1868,12.1299,697000,858000,0.0708645,0.487094,0.416229,0.000220947,0.00217716,0.00195621
